#SNR;mcs;nb_rb;TBS;rate;errors[0];trials[0];errors[1];trials[1];errors[2];trials[2];errors[3];trials[3]
0.000000;0;25;680;0.080952;2;2;2;2;1;2;0;1
0.200000;0;25;680;0.080952;2;2;2;2;1;2;0;1
0.400000;0;25;680;0.080952;2;2;2;2;1;2;0;1
0.600000;0;25;680;0.080952;2;2;1;2;0;1;0;0
0.800000;0;25;680;0.080952;2;2;1;2;1;1;0;1
1.000000;0;25;680;0.080952;2;2;0;2;0;0;0;0
1.200000;0;25;680;0.080952;2;2;2;2;1;2;0;1
1.400000;0;25;680;0.080952;2;2;1;2;0;1;0;0
1.600000;0;25;680;0.080952;2;2;0;2;0;0;0;0
1.800000;0;25;680;0.080952;2;2;0;2;0;0;0;0
2.000000;0;25;680;0.080952;2;2;0;2;0;0;0;0
2.200000;0;25;680;0.080952;1;2;0;1;0;0;0;0
2.400000;0;25;680;0.080952;2;2;1;2;0;1;0;0
2.600000;0;25;680;0.080952;0;2;0;0;0;0;0;0
